text,tokens
nitakwenda sokoni mchana na wewe je la mimi sitakwenda,"['nitakwenda', 'sokoni', 'mchana', 'wewe', 'je', 'sitakwenda']"
nitanunua nyumba mpya na wewe je la mimi sitanunua,"['nitanunua', 'nyumba', 'mpya', 'wewe', 'je', 'sitanunua']"
juma atalipa ada ya shule na hamisi je la yeye hatalipa,"['juma', 'atalipa', 'ada', 'shule', 'hamisi', 'je', 'hatalipa']"
juma atawasaidia rafiki zake na hamisi je la yeye hatawasaidia,"['juma', 'atawasaidia', 'rafiki', 'hamisi', 'je', 'hatawasaidia']"
rafiki zangu watajifunza kinyamwezi na wako je la wao hawatajifunza,"['rafiki', 'zangu', 'watajifunza', 'kinyamwezi', 'wako', 'je', 'hawatajifunza']"
utakwenda sokoni na juma la nitakwenda peke yangu,"['utakwenda', 'sokoni', 'juma', 'nitakwenda', 'peke']"
juma atakwenda sokoni na hasani la atakwenda peke yake,"['juma', 'atakwenda', 'sokoni', 'hasani', 'atakwenda', 'peke']"
watoto watakaa nyumbani na mama yao la watakaa peke yao,"['watoto', 'watakaa', 'nyumbani', 'mama', 'watakaa', 'peke']"
wachukuzi watakuja na bwana wao la watakuja peke yao,"['wachukuzi', 'watakuja', 'bwana', 'watakuja', 'peke']"
wataka chungwa hili hapana sitaki chungwa lo lote,"['wataka', 'chungwa', 'hili', 'hapana', 'sitaki', 'chungwa', 'lo', 'lote']"
magdalena na ania ni marafiki wazuri,"['magdalena', 'ania', 'marafiki', 'wazuri']"
nilijisikia vibaya,"['nilijisikia', 'vibaya']"
lazima kupumzika laurels yetu,"['lazima', 'kupumzika', 'laurels', 'yetu']"
yeye hakusoma kitabu,"['hakusoma', 'kitabu']"
paka ni jamii ya wanyama,"['paka', 'jamii', 'wanyama']"
kama ningejua ningekwenda,"['ningejua', 'ningekwenda']"
kama ningejua nisingekuja,"['ningejua', 'nisingekuja']"
bora usingekwenda hapo,"['bora', 'usingekwenda']"
kama angekaa nyumbani asingepata taabu,"['angekaa', 'nyumbani', 'asingepata', 'taabu']"
sijui niambie nini,"['sijui', 'niambie']"
hamjambo nyumbani,"['hamjambo', 'nyumbani']"
tutaonana kesho,"['tutaonana', 'kesho']"
mimi ni mwalimu,['mwalimu']
mimi si mjinga,"['si', 'mjinga']"
hawaji leo,"['hawaji', 'leo']"
habari,['habari']
habari za leo,"['habari', 'leo']"
unafanya nini,['unafanya']
mnafanya nini,['mnafanya']
naweza kupata bili tafadhali,"['naweza', 'kupata', 'bili']"
ni bei gani,"['bei', 'gani']"
ningependa kukodi gari,"['ningependa', 'kukodi', 'gari']"
nimepoteza funguo zangu,"['nimepoteza', 'funguo', 'zangu']"
jina lako nani,"['jina', 'lako', 'nani']"
mnajuana kutoka wapi,"['mnajuana', 'wapi']"
utaweza kurudia ulichosema,"['utaweza', 'kurudia', 'ulichosema']"
jina lako,"['jina', 'lako']"
unaweza kuimba wimbo,"['unaweza', 'kuimba', 'wimbo']"
kaka yako ni wapi,"['kaka', 'yako', 'wapi']"
siku nzuri,"['siku', 'nzuri']"
jambo tom,"['jambo', 'tom']"
mahaba ni tongo,"['mahaba', 'tongo']"
hakuna matata,"['hakuna', 'matata']"
hakuna mtu anaelewa mimi,"['hakuna', 'mtu', 'anaelewa']"
ufaransa ni katika ulaya ya magharibi,"['ufaransa', 'ulaya', 'magharibi']"
kusahau kuhusu hilo,"['kusahau', 'kuhusu', 'hilo']"
unataka nini wewe,"['unataka', 'wewe']"
watendeeni mema wanaowachukia,"['watendeeni', 'mema', 'wanaowachukia']"
unakumbuka mchezo huu,"['unakumbuka', 'mchezo', 'huu']"
mamako yupo nyumbani,"['mamako', 'yupo', 'nyumbani']"
guardiola ametia saini mkataba wa miaka mitatu na bayern munich,"['guardiola', 'ametia', 'saini', 'mkataba', 'miaka', 'mitatu', 'bayern', 'munich']"
uliogopa,['uliogopa']
utakaa muda ghani,"['utakaa', 'ghani']"
nisipokula nitakufa,"['nisipokula', 'nitakufa']"
achanikaye kwenye mpini hafi na njaa,"['achanikaye', 'mpini', 'hafi', 'njaa']"
achekaye kilema hata kwao hipo,"['achekaye', 'kilema', 'kwao', 'hipo']"
ada ya mja kunena muungwana ni kitendo,"['ada', 'mja', 'kunena', 'muungwana', 'kitendo']"
adhabu ya kaburi aijua maiti,"['adhabu', 'kaburi', 'aijua', 'maiti']"
adhihakiye kovu hajaona jeraha,"['adhihakiye', 'kovu', 'hajaona', 'jeraha']"
adui aangukapo mnyanyue,"['adui', 'aangukapo', 'mnyanyue']"
adui mpende,"['adui', 'mpende']"
adui ya mtu ni mtu,"['adui', 'mtu', 'mtu']"
afadhali akutembeleaye kuliko akutumiaye salaam,"['afadhali', 'akutembeleaye', 'kuliko', 'akutumiaye', 'salaam']"
afadhali kuaibika kuliko kufa,"['afadhali', 'kuaibika', 'kuliko', 'kufa']"
afadhali kufa kuliko kuaibika,"['afadhali', 'kufa', 'kuliko', 'kuaibika']"
afadhali kuwa jirani wa mbuga kuliko kuwa jirani wa mwenye mdomo mrefu,"['afadhali', 'jirani', 'mbuga', 'kuliko', 'jirani', 'mdomo', 'mrefu']"
afadhali mchawi,"['afadhali', 'mchawi']"
afua ni mbili kufa na kupona,"['afua', 'mbili', 'kufa', 'kupona']"
ahadi ni deni,"['ahadi', 'deni']"
aibu ya maiti aijuaye mwosha,"['aibu', 'maiti', 'aijuaye', 'mwosha']"
ajali haina kinga,"['ajali', 'haina', 'kinga']"
ajidhanie kasimama aangalie asianguke,"['ajidhanie', 'kasimama', 'aangalie', 'asianguke']"
ajuaye mengi hasemi mengi,"['ajuaye', 'mengi', 'hasemi', 'mengi']"
usinywe maji yaliyo bilaurini,"['usinywe', 'maji', 'yaliyo', 'bilaurini']"
kwamba ni kwa nini yeye alikuwa na hasira,['hasira']
hujambo bwana habari gani za mchana,"['hujambo', 'bwana', 'habari', 'gani', 'mchana']"
natoka uingereza,"['natoka', 'uingereza']"
habari za nyumbani,"['habari', 'nyumbani']"
ninatoka australia,"['ninatoka', 'australia']"
ninatoka brazil,"['ninatoka', 'brazil']"
ninatoka saitama,"['ninatoka', 'saitama']"
ninatoka japani,"['ninatoka', 'japani']"
ninatoka kolombia,"['ninatoka', 'kolombia']"
ninatoka amerika,"['ninatoka', 'amerika']"
ninatoka boston,"['ninatoka', 'boston']"
anatoka uingereza,"['anatoka', 'uingereza']"
anatoka genova,"['anatoka', 'genova']"
anatoka geneva,"['anatoka', 'geneva']"
anatoka welisi,"['anatoka', 'welisi']"
anatoka california,"['anatoka', 'california']"
wanatoka uswidi,"['wanatoka', 'uswidi']"
anakula,['anakula']
mwanamume anakula mkate,"['mwanamume', 'anakula', 'mkate']"
mvulana anakula mkate,"['mvulana', 'anakula', 'mkate']"
paka anakula,"['paka', 'anakula']"
mimi si daktari,"['si', 'daktari']"
niliandika kitabu kuhusu china,"['niliandika', 'kitabu', 'kuhusu', 'china']"
yeye ni mwimbaji,['mwimbaji']
naweza kuzungumza lugha yako,"['naweza', 'kuzungumza', 'lugha', 'yako']"
nataka kuishi,"['nataka', 'kuishi']"
naenda shule,"['naenda', 'shule']"
nina paka wawili,"['nina', 'paka', 'wawili']"
nanywa maji jikoni,"['nanywa', 'maji', 'jikoni']"
emily aliandika sentensi,"['emily', 'aliandika', 'sentensi']"
kupigana kwa haki yako,"['kupigana', 'haki', 'yako']"
nini uraia wako,"['uraia', 'wako']"
habari za asubuhi,"['habari', 'asubuhi']"
habari za mchana,"['habari', 'mchana']"
tafadhali niletee mayai,"['niletee', 'mayai']"
je unataka chakula,"['je', 'unataka', 'chakula']"
je unataka mayai,"['je', 'unataka', 'mayai']"
je unataka matunda,"['je', 'unataka', 'matunda']"
tafadhali niletee matunda,"['niletee', 'matunda']"
tafadhali niletee uji,"['niletee', 'uji']"
kuna chakula gani,"['kuna', 'chakula', 'gani']"
kuna uji,"['kuna', 'uji']"
je unataka uji,"['je', 'unataka', 'uji']"
ndiyo niletee uji,"['ndiyo', 'niletee', 'uji']"
kuna matunda,"['kuna', 'matunda']"
unataka matunda,"['unataka', 'matunda']"
kuna ndizi,"['kuna', 'ndizi']"
yeye amekwisha kunywa pombe,"['amekwisha', 'kunywa', 'pombe']"
wewe ni rafiki yangu,"['wewe', 'rafiki']"
ndege ni mwekundu,"['ndege', 'mwekundu']"
yeye ni ndani ya nyumba hii,"['nyumba', 'hii']"
ananishangaza,['ananishangaza']
mtu ni mwenye nguvu,"['mtu', 'nguvu']"
yeye ni mwalimu wangu,"['mwalimu', 'wangu']"
melanie anapenda muziki,"['melanie', 'anapenda', 'muziki']"
ninapika,['ninapika']
unapika,['unapika']
yeye ni daktari,['daktari']
naenda kwa miguu,"['naenda', 'miguu']"
fedha zake ni katika benki,"['fedha', 'benki']"
jiwe ni zito,"['jiwe', 'zito']"
jorge azungumza lugha nne,"['jorge', 'azungumza', 'lugha', 'nne']"
msichana anataka kujua ukweli,"['msichana', 'anataka', 'kujua', 'ukweli']"
mtu anataka kujua ukweli,"['mtu', 'anataka', 'kujua', 'ukweli']"
mwanamke anataka kujua ukweli,"['mwanamke', 'anataka', 'kujua', 'ukweli']"
mvulana anataka kujua ukweli,"['mvulana', 'anataka', 'kujua', 'ukweli']"
hakuna anayejua ukweli,"['hakuna', 'anayejua', 'ukweli']"
melanie si mpigaramli,"['melanie', 'si', 'mpigaramli']"
millie ananywa maji,"['millie', 'ananywa', 'maji']"
millie hanywi maji,"['millie', 'hanywi', 'maji']"
unaweza kusema ukweli,"['unaweza', 'kusema', 'ukweli']"
ulikuwa ukweli,"['ulikuwa', 'ukweli']"
huwezi kwenda huko,"['huwezi', 'huko']"
nilimaliza kuandika,"['nilimaliza', 'kuandika']"
pua aliimba kanisani,"['pua', 'aliimba', 'kanisani']"
nilikwenda benki,"['nilikwenda', 'benki']"
mke wangu alikwenda shamba,"['mke', 'wangu', 'alikwenda', 'shamba']"
yeye ni mwanafunzi mzuri,"['mwanafunzi', 'mzuri']"
gari yao si jizuri,"['gari', 'si', 'jizuri']"
yeye ni mwanamke mzuri,"['mwanamke', 'mzuri']"
anapika,['anapika']
wanasoma kitabu,"['wanasoma', 'kitabu']"
unasoma,['unasoma']
anasoma,['anasoma']
wanaandika,['wanaandika']
mnaandika,['mnaandika']
unaandika,['unaandika']
tunaandika,['tunaandika']
ninakula sandwichi,"['ninakula', 'sandwichi']"
farasi hii ni mweupe,"['farasi', 'hii', 'mweupe']"
farasi hii si mweupe,"['farasi', 'hii', 'si', 'mweupe']"
farasi si mweupe,"['farasi', 'si', 'mweupe']"
ninataka kunywa chai,"['ninataka', 'kunywa', 'chai']"
je unakula samaki,"['je', 'unakula', 'samaki']"
farasi ni mweusi,"['farasi', 'mweusi']"
je wewe ni nyumbani,"['je', 'wewe', 'nyumbani']"
je unaweza kutunza siri,"['je', 'unaweza', 'kutunza', 'siri']"
je una njaa,"['je', 'una', 'njaa']"
usivute sigara kitandani,"['usivute', 'sigara', 'kitandani']"
millie anapenda chokoleti,"['millie', 'anapenda', 'chokoleti']"
millie atatusema ukweli,"['millie', 'atatusema', 'ukweli']"
mtawala alikuwa na wana wasita,"['mtawala', 'wana', 'wasita']"
kitabu changu ni hapa,"['kitabu', 'changu', 'hapa']"
sisikilizi muziki,"['sisikilizi', 'muziki']"
mtu alibisha mlango,"['mtu', 'alibisha', 'mlango']"
millie ni mzuri sana,"['millie', 'mzuri']"
ninakupenda millie,"['ninakupenda', 'millie']"
millie ana macho mazuri,"['millie', 'ana', 'macho', 'mazuri']"
millie ana macho ya kijani,"['millie', 'ana', 'macho', 'kijani']"
millie ana macho ya bluu,"['millie', 'ana', 'macho', 'bluu']"
mungu aliumba dunia,"['mungu', 'aliumba', 'dunia']"
nina simu katika chumba changu,"['nina', 'simu', 'chumba', 'changu']"
je una wasiwasi,"['je', 'una', 'wasiwasi']"
ninajua kuwa alikuwa wa ajabu,"['ninajua', 'ajabu']"
atapita mtihani kwa hakika,"['atapita', 'mtihani', 'hakika']"
millie anajifunza kiswahili,"['millie', 'anajifunza', 'kiswahili']"
millie ana njaa,"['millie', 'ana', 'njaa']"
wote tuliangalia saa yake,"['tuliangalia', 'saa']"
hakumpenda,['hakumpenda']
alimchukia,['alimchukia']
je unakumbuka jina lake,"['je', 'unakumbuka', 'jina', 'lake']"
zima taa,"['zima', 'taa']"
ni nyumba nzuri,"['nyumba', 'nzuri']"
sikiliza,['sikiliza']
nilileta kitabu,"['nilileta', 'kitabu']"
kalamu changu ni mpya,"['kalamu', 'changu', 'mpya']"
millie anampenda,"['millie', 'anampenda']"
millie anakwenda shule,"['millie', 'anakwenda', 'shule']"
millie ananipenda,"['millie', 'ananipenda']"
millie ana paka,"['millie', 'ana', 'paka']"
millie ana mbwa,"['millie', 'ana', 'mbwa']"
millie anakula mkate,"['millie', 'anakula', 'mkate']"
nina mbwa,"['nina', 'mbwa']"
millie anasikiliza muziki,"['millie', 'anasikiliza', 'muziki']"
nyinyi ni waalimu,"['nyinyi', 'waalimu']"
jina langu ni john,"['jina', 'langu', 'john']"
wao ni wabaya,['wabaya']
pua anaimba kanisani,"['pua', 'anaimba', 'kanisani']"
tuko wapi sasa,"['tuko', 'wapi']"
anapika sasa,['anapika']
tunapika sasa,['tunapika']
millie anakula ndizi,"['millie', 'anakula', 'ndizi']"
ni kitabu kipya,"['kitabu', 'kipya']"
millie ana kitabu,"['millie', 'ana', 'kitabu']"
millie anasoma kitabu chake,"['millie', 'anasoma', 'kitabu', 'chake']"
ninasoma kitabu changu,"['ninasoma', 'kitabu', 'changu']"
ule ni mti,"['ule', 'mti']"
ninaenda katika safari,"['ninaenda', 'safari']"
je kuna mashine ya kufulia nyumbani,"['je', 'kuna', 'mashine', 'kufulia', 'nyumbani']"
watoto ni maua ya maisha yetu,"['watoto', 'maua', 'maisha', 'yetu']"
wewe ni mzuri,"['wewe', 'mzuri']"
nina paka,"['nina', 'paka']"
mimi ni nani,['nani']
mimi ni mmarekani,['mmarekani']
nilikuja jana,"['nilikuja', 'jana']"
ni saa tisa,"['saa', 'tisa']"
mtu huyu ni nani,"['mtu', 'huyu', 'nani']"
sisi ni wanafunzi,"['sisi', 'wanafunzi']"
wewe ni nani,"['wewe', 'nani']"
nyinyi ni nani,"['nyinyi', 'nani']"
wewe ni mwanafunzi,"['wewe', 'mwanafunzi']"
ninaweza kutembea,"['ninaweza', 'kutembea']"
mbona unanywa maji,"['mbona', 'unanywa', 'maji']"
je mna njaa,"['je', 'mna', 'njaa']"
una vitabu vingi,"['una', 'vitabu', 'vingi']"
mna vitabu vingi,"['mna', 'vitabu', 'vingi']"
je ungependa kikombe kingine cha kahawa,"['je', 'ungependa', 'kikombe', 'kingine', 'kahawa']"
nitakuokoa,['nitakuokoa']
millie anakula tufaha,"['millie', 'anakula', 'tufaha']"
millie hali tufaha,"['millie', 'hali', 'tufaha']"
je ana kompyuta npya,"['je', 'ana', 'kompyuta', 'npya']"
ana maua mekundu,"['ana', 'maua', 'mekundu']"
msichana ana farasi nyeupe,"['msichana', 'ana', 'farasi', 'nyeupe']"
yeye hana bunduki,"['hana', 'bunduki']"
huna macho ya kahawia,"['huna', 'macho', 'kahawia']"
ninapenda mwili wako,"['ninapenda', 'mwili', 'wako']"
ninachukia hesabu,"['ninachukia', 'hesabu']"
je wasema kijapani,"['je', 'wasema', 'kijapani']"
nilipata moja,['nilipata']
alishambulia adui,"['alishambulia', 'adui']"
kitabu si kipya,"['kitabu', 'si', 'kipya']"
hatukuja,['hatukuja']
mvulana ana farasi,"['mvulana', 'ana', 'farasi']"
nitasema,['nitasema']
ndugu yangu ana akaunti ya twitter,"['ndugu', 'ana', 'akaunti', 'twitter']"
nina akaunti ya twitter,"['nina', 'akaunti', 'twitter']"
paka wako ni mweusi,"['paka', 'wako', 'mweusi']"
maktaba ni upande wa kulia,"['maktaba', 'upande', 'kulia']"
maktaba ni upande wa kushoto,"['maktaba', 'upande', 'kushoto']"
ninataka kwenda uvuvi,"['ninataka', 'uvuvi']"
ulivunja meza uliyekuwa ukikaa,"['ulivunja', 'meza', 'uliyekuwa', 'ukikaa']"
wewe si mwanamke,"['wewe', 'si', 'mwanamke']"
wewe si mtu,"['wewe', 'si', 'mtu']"
ninaweza kusoma,"['ninaweza', 'kusoma']"
nina kompyuta,"['nina', 'kompyuta']"
anafundisha kiarabu,"['anafundisha', 'kiarabu']"
kuna wanafunzi maktabani,"['kuna', 'wanafunzi', 'maktabani']"
tunaweza kunywa nini,"['tunaweza', 'kunywa']"
hamisi anatumia sukari,"['hamisi', 'anatumia', 'sukari']"
hamisi anataka sukari,"['hamisi', 'anataka', 'sukari']"
rafiki yangu anataka sukari,"['rafiki', 'anataka', 'sukari']"
rafiki yangu anataka maziwa,"['rafiki', 'anataka', 'maziwa']"
rafiki yangu anatumia sukari,"['rafiki', 'anatumia', 'sukari']"
watoto wanatumia sukari,"['watoto', 'wanatumia', 'sukari']"
hamisi hapendi sukari,"['hamisi', 'hapendi', 'sukari']"
hamisi hatumii sukari,"['hamisi', 'hatumii', 'sukari']"
hamisi hatumii maziwa,"['hamisi', 'hatumii', 'maziwa']"
rafiki yangu hatumii maziwa,"['rafiki', 'hatumii', 'maziwa']"
rafiki yangu hatumii sukari,"['rafiki', 'hatumii', 'sukari']"
rafiki yangu hapendi sukari,"['rafiki', 'hapendi', 'sukari']"
mkate hautoshi,"['mkate', 'hautoshi']"
maziwa hayatoshi,"['maziwa', 'hayatoshi']"
matunda hayatoshi,"['matunda', 'hayatoshi']"
machungwa hayatoshi,"['machungwa', 'hayatoshi']"
maembe hayatoshi,"['maembe', 'hayatoshi']"
embe hazitoshi,"['embe', 'hazitoshi']"
chakula hakitoshi,"['chakula', 'hakitoshi']"
siagi haitoshi,"['siagi', 'haitoshi']"
nyama haitoshi,"['nyama', 'haitoshi']"
chai haitoshi,"['chai', 'haitoshi']"
kahawa haitoshi,"['kahawa', 'haitoshi']"
uji hautoshi,"['uji', 'hautoshi']"
ndizi hazitoshi,"['ndizi', 'hazitoshi']"
nyinyi ni watoto,"['nyinyi', 'watoto']"
wao ni watoto,['watoto']
yeye si mtoto,"['si', 'mtoto']"
natazamia,['natazamia']
sitaki kwenda shule,"['sitaki', 'shule']"
lugha ambayo inasemwa brazil ni nini,"['lugha', 'ambayo', 'inasemwa', 'brazil']"
je una uhakika,"['je', 'una', 'uhakika']"
je unasoma,"['je', 'unasoma']"
paka yetu ipo jikoni,"['paka', 'yetu', 'ipo', 'jikoni']"
ninataka kuwa mchezaji,"['ninataka', 'mchezaji']"
tlaloc anapenda kusafiri,"['tlaloc', 'anapenda', 'kusafiri']"
yanipasa kukuambia kitu,"['yanipasa', 'kukuambia', 'kitu']"
hii ni wiki yangu ya tatu,"['hii', 'wiki', 'tatu']"
anachemka mayai jikoni,"['anachemka', 'mayai', 'jikoni']"
nipe moto,"['nipe', 'moto']"
alinileta kahawa,"['alinileta', 'kahawa']"
ni nyumba ya anita,"['nyumba', 'anita']"
je unajua mwanamke huyu,"['je', 'unajua', 'mwanamke', 'huyu']"
je unajua wimbo huu,"['je', 'unajua', 'wimbo', 'huu']"
nalala uchi,"['nalala', 'uchi']"
kuna visiwa katika bahari,"['kuna', 'visiwa', 'bahari']"
samaki anaweza kuogelea,"['samaki', 'anaweza', 'kuogelea']"
ninataka mkate,"['ninataka', 'mkate']"
kuna miji mingi mikubwa katika brazil,"['kuna', 'miji', 'mingi', 'mikubwa', 'brazil']"
lugha ya kirusi ni lugha ya kislavoni inayoongelewa kama lugha ya asili huko urusi belarusi ukraine kazakhstan na kyrgyzstan na pia inatumika sana ijapokuwa si kama lugha rasmi huko latvia estonia na nchi nyingine nyingi zilizokuwa ni jamhuri katika umoja wa sovieti wa zamani,"['lugha', 'kirusi', 'lugha', 'kislavoni', 'inayoongelewa', 'lugha', 'asili', 'huko', 'urusi', 'belarusi', 'ukraine', 'kazakhstan', 'kyrgyzstan', 'inatumika', 'ijapokuwa', 'si', 'lugha', 'rasmi', 'huko', 'latvia', 'estonia', 'nchi', 'nyingine', 'nyingi', 'zilizokuwa', 'jamhuri', 'umoja', 'sovieti', 'zamani']"
si rahisi hivyo,"['si', 'rahisi']"
nina njaa,"['nina', 'njaa']"
sina njaa,"['sina', 'njaa']"
kwa sasa burj khalifa ni jengo refu zaidi duniani,"['burj', 'khalifa', 'jengo', 'refu', 'duniani']"
jambo,['jambo']
kwa heri ya kuonana,"['heri', 'kuonana']"
nipo jikoni,"['nipo', 'jikoni']"
leo ni jumapili,"['leo', 'jumapili']"
mary yuko wapi,"['mary', 'yuko', 'wapi']"
tom yuko wapi,"['tom', 'yuko', 'wapi']"
mnakwenda wapi,"['mnakwenda', 'wapi']"
nina homa,"['nina', 'homa']"
una homa,"['una', 'homa']"
chumba kizuri,"['chumba', 'kizuri']"
unakipenda,['unakipenda']
ninakwenda kulala,"['ninakwenda', 'kulala']"
viatu viko wapi,"['viatu', 'viko', 'wapi']"
tizama hii picha,"['tizama', 'hii', 'picha']"
una moyo,"['una', 'moyo']"
hii paka ni yangu,"['hii', 'paka']"
jina lako ni nani,"['jina', 'lako', 'nani']"
jambo jina lako ni nani,"['jambo', 'jina', 'lako', 'nani']"
mimi ni mbaya sana,['mbaya']
sikujui,['sikujui']
sikuelewi,['sikuelewi']
sielewi,['sielewi']
nanywa maji,"['nanywa', 'maji']"
vitabu viko wapi,"['vitabu', 'viko', 'wapi']"
sawa,['sawa']
sentensi hizi zote zinahitaji kikomo,"['sentensi', 'hizi', 'zote', 'zinahitaji', 'kikomo']"
una miaka mingapi,"['una', 'miaka', 'mingapi']"
ana miaka mingapi,"['ana', 'miaka', 'mingapi']"
bendera hii ni nzuri sana,"['bendera', 'hii', 'nzuri']"
kobe hana meno,"['kobe', 'hana', 'meno']"
lugha zina maneno magumu,"['lugha', 'zina', 'maneno', 'magumu']"
angalikuwa na nafasi angalikwenda,"['angalikuwa', 'nafasi', 'angalikwenda']"
nilikula mayai jana,"['nilikula', 'mayai', 'jana']"
