text,labels
maudhui hayajashughulikiwa kwa kina,negative
sijafurahishwa,negative
Uteuzi kwenye orodha ulikuwa mkubwa na pia bei zilikuwa nyingi,positive
sanyo ameokoka maporomoko mengi ya maji kwenye paa nyeusi bila athari mbaya,positive
Unapatana na sikio langu na unastarehesha,positive
Kurudi nyuma,negative
kaseti za kupitisha habari,positive
Karibu dakika kumi katika filamu hii ikaanza kuwa na mawazo ya pili,negative
Ukitenda katika sinema kama hiyo unapaswa kufurahi kwamba utapeperuka kutoka duniani kwa kadiri iwezekanavyo,negative
kweli picha hizo zilikuwa nzuri wakati huo,positive
kisehemu cha mkononi kinafanya kazi vizuri lakini gari lajaribu kupakua kitabu cha anwani na treo rebooverll ingali linafikia kiwango cha juu cha kifaa hiki,positive
Unaweza hasa kusahau vitu vidogo - vidogo vinavyotegemeza teknolojia,negative
Matokeo ni aibu,negative
kuingia ndani ya maji kwa sababu ya kuvunjika moyo kidogo,negative
Gari la abiria lina huduma bora zaidi kwa wateja mahali popote,positive
Chakula kilikuwa bora zaidi kwa wastani,negative
Kwa hakika hii ni kauli iliyo letwa na Mjumbe mwenye hishima.,negative
Lilikuwa jambo zuri kwamba tikiti hizo ziligharimu dola tano tu kwa sababu ningekasirika ikiwa id angelipa 750 ili kuona mtego huu,negative
Usiku uliopita nilikula hapa mara ya pili na nilifurahi sana nikaamua kurudi,positive
Boti ya mvuke ni filamu muhimu sana katika historia yetu ya sinema,positive
Kila kitu kilikuwa kipya na kitamu,positive
akaagiza glolish muffin iliyochomwa - chomwa izuke,negative
kiliwekwa vizuri ili kuepusha uharibifu wowote,positive
shwari kabisa,positive
Ninachosema tu ni chakula kilistaajabisha,positive
upepo mkali,positive
wahudumiaji hawapendi kushughulika nao na hawaheshimu sikuzote vibanda vya piza,negative
Lilionekana kuwa nyepesi sana na lenye rangi hafifu,negative
unipigie kokwa lakini nafikiri hii ni moja ya sinema bora zaidi iliyopata kuonekana,positive
Mahali hapo pastahili nyota moja na 90 kwa habari ya chakula,negative
Sikuzote piza ya watoto huwa na vyakula vingi vya badala kwa ajili ya watoto,positive
paa - mbuzi alitambaa juu ya nyama na kuguna na ladha gani,positive
Singependekeza mahali hapa,negative
Ninamruhusu rafiki yangu wa kike aongee nami ili kuona wazo hili baya ambalo sisi sote tulilichukia,negative
kilikuwa chema,positive
baada ya kupokea na kutumia bidhaa hiyo kwa siku 2 tu ilivunjika,negative
Sitaliwa tena mahali hapa tena,negative
Upambaji wa krek ulikuwa wenye rangi ya krimu na ladha tamu sana,positive
sielewi jinsi takataka hii ilifika kwenye rafu za duka la sinema hata sio sinema halisi,negative
"Mwenye kutua, akatulia,",negative
Kiasi cha fedha kama kile cha kurudi tena i canti kikipitishwa kwenye huduma hiyo ya kikatili na hakitarudi tena kamwe,negative
Basi ni kiovu hicho walicho nunua.,negative
Ukiitazama hata kama kuna faraja ndogo kwa waigizaji wachezao dada wengine kila mmoja hufanya kazi nzuri ajabu wakiwa na madaraka yao,positive
betri haina uhai,negative
unashiriki kwa ujumla owethielms furaha tele katika kushiriki kwake katika cailles katika mchezo wa sarcofage hata ingawa unatazama tu sinema lakini unatamani sampuli ndogo tu ya kufurahia,positive
Ipende mnong'engemeo la mkono,positive
Maisha ya miali ya jua yaliandaa picha nzuri sana kwa ajili ya sinema ambayo haihusishi tu sinema nyingine kuhusu mwanamuziki,positive
Imetumika kama hirizi mpaka sasa,positive
ikiwa unataka sinema ambayo si nzito bali inakufanya uhisi baridi kidogo hili ni chaguo kubwa,positive
hata kama unapenda sinema mbaya usitazame sinema hii,negative
kifaa hiki ni nzuri katika hali kadhaa 1,positive
Watoto wakicheza ni wachafu,negative
viti vya patio vilikuwa vyenye kustarehesha sana,positive
Isipokuwa tu uwe nje ili ukusanye kwa macho filamu zote zilizopo sasa za amastens za kazi unaweza kuikosa,negative
Pia wana jibini bora zaidi mjini,positive
Neowm laini nyingine ya dhahabu isiyo na thamani yoyote kutoka mbio za masafa mafupi,negative
Ni kweli kabisa kwamba ninapendekeza sinema hiyo kwa mtu yeyote anayependa sinema nzuri za familia zenye kujenga kwa sababu hivyo ndivyo ilivyo hasa,positive
viazi vile havionekani,negative
halifanyi kazi europe au astia,negative
nyinyi mimi nilinunua laini yenu miaka 20 iliyopita hata peremende sijawai pata gai hata mtu akioa bibi miaka hiyo yote sianamzaliaheeeee nengereni cia maitho kari gani,negative
Pole sana lakini kwa kweli nashindwa kupendekeza kwa mtu yeyote,negative
na napenda rangi tu,positive
Picha si sehemu bora zaidi ya mchezo huo,negative
baada ya kungoja kwa muda wa saa moja na kuketi i haikuwa katika hali ya moyo iliyo kuu zaidi,negative
hii ni moja ya hoteli bora zaidi zenye vyakula katika vegas,positive
katika muda wa saa moja ilikuwa na watu wawili wapaaza sauti ni nani ni kwamba ile simu mpya ya tv,positive
ikiwa unatafuta sinema na filamu ya kutisha muziki mzuri pamoja na toleo la shirley jones la njia unaonekana usiku na mwisho ulioinua jaribu hii,positive
"baadaye, nilijikuta nimepoteza uwezo wa sinema hiyo",positive
nzuri kwa ipod pia,positive
"bekoni ina chumvi ya ""hena """,positive
Ilichukua zaidi ya min 30 kupata shagi ya maziwa yao ambayo yalikuwa tu maziwa ya chokoleti,negative
pelne vodka ni bora kabisa,positive
kila kitu juu yake ni sawa na nzuri kwa bei,positive
Tafadhali kaa mbali na uduvi huyo ukikoroga tambi zilizokaangwa,negative
Vyeo vizuri vya sauti kwa bei na vinafanya kazi nyingi,positive
kutajwa maalum inapaswa kufanywa kwa alama nzuri zaidi ya muziki na athari za sauti ambayo ni nyenzo muhimu katika kusaidia kufanya hii katuni ya kukumbukwa na ya kufurahisha,positive
Hakika huo ni uchafu.,negative
Kisha nikaitazama tena siku mbili za jua zilizopita wakati wa matembezi ya miaka 20 2005 na nikaanza kuifurahia sana na wakati huu mimi nikatwaa kila kitu,positive
Inaonekana kwamba mistari yake iliandikwa na kijana mwenye umri wa miaka kumi na mitano ingawa wanajaribu sana - sana kusikia kama vile mtoto mwenye umri wa miaka kumi na mitano anavyojua vizuri mazungumzo,negative
Ukiwa umemiliki simu hii kwa miezi 7 sasa na unaweza kusema kwamba simu yake bora zaidi ya mkononi ilikuwa nayo,positive
Nimependekeza marafiki wafanye hivyo,positive
kwa bahati mbaya cover girl ni kielelezo cha jinsi hollywood ilivyokuwa ikiwatumia wanawake kwa faida ya kifedha,negative
ubora mbaya,negative
Usinunue nguo za d807 zilizotangazwa kimakosa kwa ajili ya d807,negative
wonyesho wake ulikuwa wa mbao lakini haukuwa mbaya zaidi ya kipindi cha sinema ya bli,negative
hiki ndicho mkahawa mdogo wa familia hapa ni mahali pazuri pa kulia chakula,positive
haikuvutia,negative
Mandhari nzuri,positive
kitu hiki ni kizuri ajabu na kinafanya kazi kikamilifu,positive
mwezi mmoja tu ulikuwa na kazi yake lakini bila dosari yoyote kufikia sasa,positive
Dakika 54 za edium melodrama zilizo tupu na zenye kuogofya zikiharibu mwandiko na hisi yenye kuzama ya bwana - mkubwa mwema waliokuwa wakifikiri,negative
kila kitu juu ya hilo ni kibaya tu,negative
mstari wa hadithi ni mbaya tu,negative
Hali za malta ni kavu na za ukame kama mazungumzo,negative
Kurudi tena kwenye bakuli wakati ujao,positive
sauti nzuri,positive
Tuliagiza vyakula fulani vya zamani na vingine vipya baada ya kwenda huko mara chache na tukakatishwa tamaa sana na kila kitu,negative
Niliachwa na kuumwa na tumbo na kuhisi mgonjwa siku nzima,negative
hawafaulu,negative
walakini baada ya kuona fupi tena baada ya miaka kama 25 nilishangazwa na jinsi filamu hiyo haina wakati,positive
Kwa kweli ni rahisi zaidi kwake,positive
kasha nzuri thamani bora,positive
wamekuwapo kwa miaka mingi na huwa na kilinda - sinema bora zaidi ambacho nimepata kufikia sasa,positive
Unaweza kujiitaje nyumba ya nyama ikiwa huwezi kupika vizuri nyama ya nyama ambayo haieleweki,negative
Hawakusikia ila ukelele mmoja tu usio na shaka.,negative
"Mkavu, na juu ya hayo, mshari, amejipachika tu.",positive
Naipenda bekoni iliyofungwa tarehe,positive
Ikiwa unasoma makala hii tafadhali usiende huko,negative
jambo kuu ni safari inayogusa kila mshiriki wa familia,positive
ziliangusha zaidi ya mpira,negative
hadithi hiyo inafunuka katika karne ya 18 na utumizi wa muziki wa kipindi cha wakati unaochezwa kwa ala za muziki ni mguso mmoja tu ulio mzuri zaidi,positive
Hii ni sinema yenye kuvutia,positive
Labda singeenda hapa tena,negative
Usifanye kosa kama langu,negative
"Mtapitapi, apitaye akifitini,",negative
Nimefurahishwa sana na wale 510 na sikuwa na malalamiko yoyote kutoka kwa yeyote kuhusu ubora wangu wa sauti mwishoni mwao,positive
inavutia sana,positive
imekuwa mshindi kwetu,positive
utendaji bora kutoka kwa bi,positive
mbaya sana,negative
Si kidhehebu tu kilicho maarufu,positive
bila shaka kitendo hicho ni bla,negative
ninapenda sinema hii 910,positive
sikugundua jinsi ya kifupi ni nzuri sana hadi sura mbili za mwisho,positive
epuka epuka epuka,negative
unatayarisha samaki wapya wa ajabu kwa uangalifu,positive
epuka kwa gharama zote,negative
sauti inatambuliwa sana,positive
yule anayetenda kwa ustadi,negative
upande wa juu wa mkahawa wao huandaa chakula kizuri kwelikweli,positive
licha ya mikusanyiko ya wahakiki nilipenda filamu hii,positive
kwanini filamu hii ilitengenezwa,negative
ambayo ni kwa nini ninaipa hakiki mbaya,negative
na nyakati nyingine iliaibisha sana hivi kwamba ilinibidi kutazama mbali,negative
ilipata mahali hapa kwa aksidenti na isingeweza kuwa na furaha zaidi,positive
Kutamauka sana,negative
kadi ya linda ndiyo kitu pekee kizuri katika filamu hii,positive
kwanza kutoka kwenye vidimbwi vya kupangusia maji ni hajawahi kamwe kuwa na zaidi ya baa 2,negative
Lilikuwa rangi hafifu badala ya rangi nzuri na marari na halina ladha,negative
nilifurahi waliponiambia twende nyumbani kwa baba,positive
bila shaka ni miongoni mwa wasanii wanaoibukia wanaoendelea kuvumisha jukwaa la muziki wa kumtukuza mungu kwa mitindo ya kizazi kipya inayoendelea kuchangamsha wengi,positive
Kinapofungua betri huvunjwa na kifaa hicho huzimwa,negative
ubora mzuri sana ingawa,positive
Ndipo chakula chetu kikaanza kukatishwa tamaa,negative
huduma ilikuwa ya polepole kwa sababu iliandaliwa na wahudumiaji 3 kwa hiyo chakula kilikuwa kinakuja kwa mwendo wa polepole,negative
Nilikuwa nikitafuta kifaa hiki kwa muda mrefu na sasa kwa kuwa kikuza - sauti hicho kingeweza kuwa chenye furaha zaidi,positive
Laiti ungependekeza sana bidhaa hii,positive
yale maharagwe yaliyoharibika ambayo yalikuja pamoja na mlo wangu yalikaushwa na kusagwa na chakula kilikuwa bland,negative
ikiwa wewe ni mmiliki wa razr lazima uwe na hii,positive
Nina miaka miwili zaidi katika mkataba huu na ninaichukia simu hii,negative
mboga ni za karibuni sana na mchuzi huo huhisi kama mihai halisi,positive
Bidhaa kubwa kwa bei,positive
Wanazungushiwa kikombe chenye kinywaji cha chemchem,positive
tukiacha ubaguzi wa rangi wacha tuangalie upungufu mkubwa kwenye filamu wanaharibu mhusika wa latifah,negative
linatoa picha nzuri lakini yenye uzito wa hali ya juu na ya chini ya wahusika maisha,positive
waya huonekana mwembamba sana na dhaifu sana hivi kwamba inatisha,negative
maonyesho ya mara nyingi huwa ya kuchekesha na mara kwa mara yanagusa wahusika wanapotathmini maisha yao na wapi wanaenda,positive
bland hapendi mahali hapa kwa sababu kadhaa na sitaki kupoteza wakati kwa sababu mbaya kuipitia vibaya kwa sababu hiyo,negative
sinema hiyo ilikufanya uwe kwenye ukingo wa kiti chako na kukufanya uwe na hofu fulani ya kwenda kwenye gari lako mwishoni mwa usiku,positive
Nilikuwa nimerudi leo tangu walipohamia eneo lingine na bado sikufurahi sana,negative
mwenye mamlaka nyingi huona hilo kuwa jambo la busara,negative
hata masikio yaweje kwa urahisi na baada ya juma moja tu ipoteayo moja,negative
Utumishi pia ni wenye kuvutia,positive
Huyo maskani yake yatakuwa Moto wa Hawiya!,negative
Nilirudi nyumbani ili kuona mabawa makavu zaidi kuwahi kuonekana,negative
Wanaketi polepole sana hata wakiwa katika eneo lililotengwa,negative
Nilikwenda kwenye tovuti ya burolas na kufuata mielekezo yote lakini sikuweza kuipata tena kuwa na wenzi wawili,negative
Chakula kilikuwa bora kabisa na utumishi ulikuwa mzuri sana,positive
meza zilizo nje pia ni chafu wakati mwingi na wafanyakazi mara nyingi si wenye urafiki na wenye msaada kwa orodha ya vyakula,negative
asanteni sana majirani wetu kutoka kenya,positive
kwa sababu masikio yote mawili yana shughuli nyingi hayakengeushi hata kidogo,positive
Labda niliwakamata wakati wa usiku nikihukumu kwa mapitio yale mengine lakini nisije nikachochewa kurudi nyuma,negative
kwa jumla ilikosa tu mawazo,negative
"Akaingia katika kupigiwa kura, na akawa katika walio shindwa.",positive
"Hata hivyo, ni vizuri sana",positive
alinunua hasa kwa ajili ya msimamizi ambaye alivunja uhusiano mara tu baada ya kununua,negative
Hakika huyu ni katika walio dhulumu.,negative
Huduma ya kishenzi na isiyo ya ulaghai ilielekeza usimamizi mpya,negative
kama wanasema katika canada huu ni mchezo wa kufurahisha aye,positive
imiliki 2 ya visa hivi na ningeagiza kingine,positive
muda mrefu mwepesi na hauna maana,negative
Dakika 30 hivi za video zinatupwa ili kuonyesha waigizaji wazee - wazee wakiropoka kwa maneno yasiyo ya kweli na yasiyo na maana sana ili kumfanya kijana abadilike rangi nyakati zote akiwa mzee - mzee na nyakati nyingine katika latin ambayo huenda yakatamkwa au isikike kwa maneno,negative
ilikuwa maarufu sana wakati nilikuwa kwenye sinema nyumba nzuri na athari nzuri na kucheka sana,positive
Alipoteza saa mbili,negative
Nilipokea amri zangu vizuri ndani ya wakati wa usafirishaji wa kila kitu kilikuwa na utaratibu mzuri wa kazi na kwa ujumla mimi husisimuka sana kuwa na chanzo hiki,positive
"Kwa habari ya muuaji, usitarajie chochote kilicho cha asili au hata chenye kuogopesha sana",negative
nakubaliana na jessica sinema hii ni nzuri sana,positive
Na zinazo kwenda kwa wepesi.,positive
lakini yeye bado ni mwigizaji mbaya akirudia sura yake ya uso wa robotic katika kila moja ya picha zake,negative
"hadithi iliyosimuliwa kwa ufasaha sana na farani kwa ajili ya polisi miaka 25 mapema, kwa kweli inafunuka hatua kwa hatua na kuacha nafasi kwa wahusika kusitawi",positive
mimi sipenda ujinga,negative
"Nilipenda sana mstari wa hadithi na dubu wa ""spor "" alikuwa mwenye kuvutia lakini kama kuna yeyote aliye na swali kuhusu umayamaya wa chuma tu anauliza mbali",positive
ni vizuri pia kuona kwamba mwandishi mashuhuri wa skrini frances marion hajakosa hatua inayoenda kimya hadi sauti,positive
cliosini iliyoletwa na saladi ilikuwa ya ajabu,negative
"Isipo kuwa fedha zenu, na mali zenu kwa miezi 11 sasa",negative
nilikuwa natarajia zaidi,negative
sinema hii ilikuwa ya muda mrefu lakini nilifurahia kila dakika yake,positive
Haijawahi kamwe kuwa kwenye jumba gumu la kamari la roki kabla ya hapo halitaweza kusonga mbele tena kamwe ndani yalo,negative
na mwishowe baada ya yote hayo tunafikia tamati ambayo ingekuwa nzuri ikiwa ingeshughulikiwa na watu wenye uwezo na sio jerry falwell,negative
Nadhani sehemu zenye kustaajabisha zaidi ni madondoo ya vitabu vyake,positive
sinema hii pia inafafanua,positive
niliichukia,negative
ndizi iliyopasuliwa haikung'olewa tu bali ilikuwa imeng'arishwa na isiyo na ladha,negative
Utumishi ulikuwa mzuri na kampuni ilikuwa nzuri zaidi,positive
baada ya miezi 3 kiwambo cha video kiliacha kuwa cheusi kwa ghafula,negative
Naipenda kamera sifa yake nzuri sana,positive
Kapi ya kauri ni ya hali ya juu sana,negative
Ilinibidi ninunue kisanduku tofauti,negative
filamu zote mbili ni mbaya lakini kwa sifa ya toleo la 1986 ilionekana,negative
upepo na simba zimeandikwa vizuri na zimetenda kwa vitendo,positive
Kufanya hivi kunachosha,negative
Nilifurahia sana jambo hilo,positive
mimi ni shabiki mkubwa wa safu hii zaidi kwa sababu ya mtindo wa anne rice unyeti na matibabu,positive
Tani zilizo bora zaidi upande wa kusini - magharibi,positive
zote zikiwa kamilifu kabisa zikiwa kazi ya pekee sana katika bahari ya sanaa ya faux,positive
Jambo zuri tu lilikuwa kwamba latoshea vizuri kwenye masikio madogo,positive
Eneo hili si maarufu sushi,negative
mandhari hii ni yenye nguvu na isiyopendeza,negative
Ngozi halisi yenye mng'aro na faraja nzuri inakupendekeza kisa hiki,positive
kila wakati nilapo hapa mimi huona ushirikiano wenye kujali kwa kiwango cha kitaalamu,positive
Yote ninayoweza kufanya ni sawa kwenye mtandao wa intaneti kwa hiyo hapa ni sawa kutumia kitu kidogo kama hiki,negative
Na bado filamu nyingine nzuri ajabu kutoka kwa mabwana wakubwa walio thabiti,positive
sina uhakika alikuwa anajaribu kufanya nini na filamu hii,negative
matokeo ni aibu,negative
Mtu fulani alivumbua hili mapema zaidi,positive
ni nzuri na ya kusisimua kutazama na ninatumahi kuwa itatolewa tena kwa video au dvd,positive
Ilinibidi kuondoka kwenye chumba hicho kwa dakika chache ili kupata kitulizo,negative
Sinema hii ni nzuri hasa ikiwa unafurahia sanaa za kuona,positive
Lilitayarishwa kwa ukamilifu na utumishi huo haukuwa na faida yoyote,positive
Hakika betri hii ina faida kubwa.,positive
○ hali ya kukata tamaa,negative
ukikaa ndani ya vega ni lazima upate kiamsha kinywa hapa angalau mara moja,positive
Tena akiwa kilema,negative
kwa kweli hii ni moja wapo ya zile mbaya,negative
sio ya kufurahisha,negative
haina maana na inapoteza muda,negative
Tulipata betri nyeupe ya rangi ambayo hufa baada ya saa mbili za awali kutumiwa kwa juma moja lakini bado hudumu kwa muda mrefu kuliko mahali pa kuishi,negative
utendaji wake ni fikra tu,positive
bado ni vitu vya mwitu ingawa na inashauriwa sana kwa mashabiki wa sinema ya giallo,positive
moto huu hauwaki vizuri,negative
ubora wa sauti kwenye mwisho wote ni bora,positive
kwa kweli hajui jinsi ya kutengeneza sinema ya vitendo madhubuti kutoka kwa mwandishi wa jeshi la anga ambaye alilazimika kuandika hati hiyo kwa pesa nyingi tu,negative
Chakula cha baharini kilikuwa kipya na chenye ukarimu,positive
kwa watu ambao ni wa kwanza kutengeneza filamu nafikiri walifanya kazi nzuri sana,positive
Mandhari nzuri ya chakula cha mchana,positive
ni rahisi kutumia na kila mtu anazipenda,positive
Labda nimeanza kurudi hapa,negative
nilinunua hii na baada ya siku 2 haikufanya kazi tena,negative
Nenda ujionee,positive
Tukio baya zaidi kuwahi kutokea,negative
baada ya kutazama filamu hii nilitaka kujifunza zaidi juu ya kazi za msanii huyu,positive
Picha ya 010 katika kidato cha pili inaonyesha kipindi hicho ni kibaya sana hivi kwamba hata mama ya kifaa hicho humvuta binti yake nje ya kipindi hicho,negative
nitasema tena hii ni mateso,negative
Sehemu ya nje ya m ilikuwa bora kuliko iliyo sawa,positive
Viwango vya imdb vinafikia kiwango cha chini cha 1 tu kwa wakati wake mbaya sana ili kupata idadi hasi katika visa kama hivi kwa ajili ya visa kama hivi,negative
steamboat willie ni filamu ya kushangaza katika historia yetu ya sinema,positive
iam ilipendezwa sana na ununuzi wangu,positive
mistari kupunguzwa sauti kila kitu kibaya,negative
Naomba radhi kwa kufanya ununuzi huu,negative
walakini hii haikufanya kwa ukweli wa jumla hii ilikuwa sinema ya kuchosha sana,negative
mazingira hapa ni yenye kufurahisha,positive
"unapowasiliana na watu 12 au mamia kadhaa, wazia furaha ya kutuma kila mmoja wao moja baada ya mwingine",negative
Kifaa hiki ni kikubwa katika hali kadhaa1,positive
kichwa kinatimiza matakwa yangu ili nifurahie kununua,positive
Kwa sababu ya tukio hili katika kila ziara i ililazimishwa kuacha kutumia kichwa hiki,negative
Mbweha wa karne ya 20 wanaoishi barabarani mwaka wa 1948 si kwamba wao ni wapumbavu tu bali pia ni filamu isiyoweza kutiliwa shaka,negative
niliona nikiwa mtoto kwenye tv mnamo 1973 wakati ilikuwa mgeni na niliipenda,positive
Sinema hiyo ilikuwa ndefu lakini niliifurahia kila dakika,positive
Usinunue ikiwa unataka kutumia holi,negative
Na uhusiano wake wenye hila kati ya filamu hizo tatu ni wenye kutisha,positive
Kieslowki haachi kamwe kunistaajabisha,positive
kichwa chake kilicho bora zaidi ni kile ambacho kimetumia,positive
sehemu yake ya ndani ni yenye ncha kali sana na kiwambo ni kizuri na wazi kwa picha nyingi,positive
kelele ya bose kufuta ni ya kustaajabisha sana kwa mpita - njia,positive
Kila mhusika alikuwa mwenye adabu na aliyestahili kuitwa kiongozi,positive
mnunuzi kuwa mwangalifu sana,negative
kichwa cha bt kilikuwa kipingamizi kama hicho,negative
Sidhani nitarudi nyuma wakati wowote karibuni,negative
niliona sinema hii na nilidhani hii ni sinema ya kijinga,negative
wahusika ni wenye kupendeza na unataka kujua zaidi juu yao kadiri sinema inavyoendelea na na nafikiri watu watashangazwa na ni nani atakayeicheza bila kuifanya,positive
kabla ya kuingia ili kujua kwa nini mimi ndiye aliyetoa kiwango cha nyota 1 kwa tafadhali jua kwamba hii ilikuwa mara yangu ya tatu kula katika buchiger kabla ya kuandika pitio,negative
Tunafurahi sana kwamba tulipata mahali hapa,positive
"Nadhani tulikwenda usiku, lakini kufanya hivyo kulikuwa jambo la aibu",negative
kweli mbaya,negative
Tulingoja kwa dakika arobaini bila mafanikio,negative
kuangalia mashine ya kuosha ikizunguka haitakuumiza macho yako kama vile onyesho hili,negative
kitu cha pekee kilichostahili kutazamwa ni ile mandhari na nyumba kwa sababu ni maridadi,positive
